id,first_name,last_name,salutation,call_sign,dob,weight_lbs,height_m,gender,dna_mutations_n,home_colony_id,is_cylon
1,Christopher,Greer,Mr.,,3677-04-22,123,1.58,F,140136,13,-1
2,John,Harris,Ms.,,3662-11-11,115,1.62,F,628871,,-1
3,Glenda,Wright,Mr.,,3674-05-18,123,1.69,M,227274,8,-1
4,Jeanne,Trujillo,Mr.,,3662-10-08,176,1.71,M,387437,,-1
5,Audrey,Hunter,Dr.,,3712-04-20,108,1.84,M,266538,12,-1
6,Gerald,Dunn,Mr.,,3712-02-06,130,1.52,F,475191,,-1
7,Stephen,Allen,Sir,,3679-01-03,190,1.53,F,635813,,-1
8,Joshua,Rodriguez,Mr.,,3739-05-29,114,1.88,M,93,13,1
9,Brian,Martinez,Dr.,,3667-12-20,248,1.85,M,287141,13,-1
10,Ruth,Hensley,Sir,,3689-12-25,138,1.64,F,325604,,-1
11,Catherine,Taylor,Ms.,,3749-09-29,220,1.53,M,929,,-1
12,Tiffany,Garcia,Mr.,,3706-12-15,169,1.89,M,267049,10,-1
13,John,Holden,Ms.,,3714-03-26,196,1.63,M,504640,,-1
14,Christina,Hodge,,,3738-09-23,246,1.59,F,874,,-1
15,Ashley,Bush,Mr.,,3710-04-23,115,1.68,F,134,7,1
16,Christopher,Hampton,,,3675-11-15,201,1.75,F,142,,1
17,Robert,Miller,Ms.,,3721-12-18,136,1.61,F,502414,,-1
18,Kayla,Arnold,Dr.,,3733-12-16,175,1.66,F,113658,13,-1
19,Arthur,Haynes,Ms.,,3698-08-08,198,1.81,M,112006,,-1
20,Jessica,Cole,Dr.,,3660-04-19,217,1.87,M,32,,1
